Pattern,Print,Fabric,Native_Product_Id,Primary_Colour
Checked,Checked,Silk Blend,15038412,Beige
Checked,Checked,Silk Blend,15038412,Beige
Woven,Ethnic Motifs,Silk Blend,11564104,Purple
Embroidered,Ethnic Motifs,Poly Georgette,11716846,White
Embroidered,Floral,Net,13135204,Orange
Woven,Floral,Silk Blend,13067980,Green
Woven,Ethnic Motifs,Cotton Silk,13661632,Black
Woven,Floral,Silk Blend,13067972,Purple
Embroidered,Floral,Cotton Blend,12831454,White
Checked,Checked,Silk Blend,15038412,Beige
Embroidered,Ethnic Motifs,Poly Georgette,11716850,Blue
Embroidered,Floral,Pure Silk,12967744,Gold
Woven,Striped,Cotton Blend,13616810,Red
Striped,Striped,Silk Blend,13950450,Blue
Checked,Checked,Silk Blend,15038412,Beige
Woven,Ethnic Motifs,Silk Blend,14129238,Magenta
Embroidered,Ethnic Motifs,Poly Chiffon,14160390,Black
Woven,Ethnic Motifs,Cotton Silk,14074882,White
Printed,Ethnic Motifs,Cotton Blend,14001052,Cream
Embroidered,Floral,Silk Blend,14001148,Grey
Checked,Checked,Silk Blend,15038412,Beige
Embroidered,Floral,Silk Blend,14001108,White
Woven,Geometric Print,Cotton Silk,15051124,Orange
Woven,Solid,Silk Blend,15372560,Green
Checked,Checked,Silk Blend,15038412,Beige
Printed,Ethnic Motifs,Art Silk,13817034,Green
Woven,Ethnic Motifs,Silk Blend,13068050,Magenta
Embroidered,Ethnic Motifs,Cotton Blend,13640284,Blue
Embroidered,Floral,Cotton Blend,13680562,Pink
Woven,Ethnic Motifs,Poly Georgette,12387452,Navy Blue
Woven,Ethnic Motifs,Cotton Blend,12457270,Black
Striped,Striped,Cotton Blend,12457280,Red
Embroidered,Floral,Cotton Silk,12398578,Coffee Brown
Checked,Checked,Silk Blend,15038412,Beige
Woven,Geometric Print,Poly Georgette,11716848,White
Woven,Floral,Silk Blend,12889008,Brown
Woven,Floral,Silk Blend,12889052,Black
Checked,Checked,Silk Blend,15038412,Beige
Woven,Floral,Art Silk,13008790,Navy Blue
Woven,Ethnic Motifs,Art Silk,13008794,Pink
Woven,Floral,Silk Blend,13068124,Black
Solid,Solid,Silk Blend,13676006,Peach
Woven,Ethnic Motifs,Cotton Silk,12638650,Orange
Checked,Checked,Silk Blend,15038412,Beige
Printed,Floral,Silk Blend,12889040,Cream
Embroidered,Floral,Poly Georgette,13137742,White
Embroidered,Floral,Cotton Silk,13137750,Green
Checked,Checked,Silk Blend,15038412,Beige
Checked,Checked,Silk Blend,15038412,Beige
Checked,Checked,Silk Blend,15038412,Beige
Embroidered,Quirky,Poly Georgette,14443782,Pink
Printed,Quirky,Viscose Rayon,14430820,Blue
Embroidered,Ethnic Motifs,Poly Chiffon,14674646,Maroon
Embroidered,Ethnic Motifs,Poly Chiffon,15043172,Red
Woven,Ethnic Motifs,Silk Blend,11564114,Rust
Woven,Ethnic Motifs,Cotton Silk,13661700,Turquoise Blue
Checked,Checked,Silk Blend,15038412,Beige
